,date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
0,2000-04-01,ARG,ARS,Argentina,2.5,1.0,2.5,0.11607,0.05007,-0.16722,-0.09864,1.09091,7803.328512,1.9226515251854,0.39117,,-0.06626,0.10096,0.97153
28,2001-04-01,ARG,ARS,Argentina,2.5,1.0,2.5,0.11607,0.10541,-0.12148,0.05442,1.09091,7740.134528,1.708568388321,0.56012,0.29888,0.04071,0.41302,0.91742
56,2002-04-01,ARG,ARS,Argentina,2.5,3.13,0.798722044728435,-0.66012,-0.66388,-0.72319,-0.60369,-0.37015,7600.23464,1.8601376511002,-0.5488,-0.61247,-0.67644,-0.4721,-0.40976
89,2003-04-01,ARG,ARS,Argentina,4.1,2.88,1.42361111111111,-0.4213,-0.52244,-0.54723,-0.34796,0.19066,5589.438,1.88683869770445,-0.1533,-0.40809,-0.42282,-0.0394,0.1354
121,2004-05-01,ARG,ARS,Argentina,4.36,2.95,1.47796610169492,-0.40163,-0.5505,-0.56081,-0.36256,0.17669,6287.3776353211,2.09621911180654,-0.16673,-0.46324,-0.44903,-0.11763,0.12415
162,2005-06-01,ARG,ARS,Argentina,4.75,2.897,1.6396272005523,-0.36449,-0.5424,-0.52342,-0.30011,0.2924,6893.05226526316,2.27722654421462,-0.05764,-0.4399,-0.36854,0.04881,0.22339
202,2006-01-01,ARG,ARS,Argentina,4.75,3.0638,1.55036229518898,-0.41934,-0.55878,-0.53248,-0.29114,0.19069,8484.82830315789,2.31720431841225,-0.21991,-0.49021,-0.42218,-0.04438,0.13507
235,2006-05-01,ARG,ARS,Argentina,7.0,3.0565,2.29020121053493,-0.17619,-0.39202,-0.3722,0.02697,0.75059,5994.76499428571,2.37033335017169,0.20266,-0.24993,-0.16573,0.52802,0.70413
276,2007-01-01,ARG,ARS,Argentina,8.25,3.08875,2.67098340752732,-0.07578,-0.29881,-0.30329,0.15983,0.88773,6435.19382666667,2.49321299814578,0.31443,-0.14168,-0.08345,0.61288,0.84674
317,2007-06-01,ARG,ARS,Argentina,8.25,3.0915,2.66860747210092,-0.11046,-0.35957,-0.33404,0.16575,0.84491,6680.132,2.62090885770684,0.26838,-0.21595,-0.11941,0.64552,0.8027
358,2008-06-01,ARG,ARS,Argentina,11.0,3.0195,3.64298724954463,0.13489,-0.31814,-0.20293,0.39026,0.99169,6650.89413272727,3.12928775903075,0.54733,-0.19015,-0.00063,0.901,0.96727
398,2009-07-01,ARG,ARS,Argentina,11.5,3.81125,3.01738274844211,-0.1203,-0.34648,-0.1819,-0.12717,0.64935,8627.22756608696,2.74645860167432,0.26202,-0.18774,0.08675,0.21251,0.61238
439,2010-01-01,ARG,ARS,Argentina,7.0,3.7985,1.84283269711728,-0.46273,-0.61956,-0.49805,-0.47283,0.00651,15235.93113,3.13425653300165,-0.25242,-0.55417,-0.36101,-0.30216,-0.09348
480,2010-07-01,ARG,ARS,Argentina,14.0,3.93375,3.55894502700985,0.0082,-0.17855,0.02164,-0.03041,0.82717,7840.06368642857,3.04760634167726,0.36969,-0.01304,0.30818,0.27919,0.81259
521,2011-07-01,ARG,ARS,Argentina,20.0,4.1325,4.83968542044767,0.32958,-0.018,0.24361,0.18519,1.12913,7414.67727,3.44544792414488,0.95491,0.24417,0.69407,0.69498,1.13289
